brand_name,model,prices,rating,has_5g,has_nfc,has_ir_blaster,processor_manufacturer,processor_brand,processor_model,cpu_core_type,num_core,cpu_clock_speed_ghz,ram_capacity,internal_memory,battrey_capacity,fast_charging_watt,fast_charging_supported,display_size_inches,display_resolution_width_px,display_resolution_height_px,display_refresh_rate_hz,display_notch_type,rear_camera_count,rear_cam_1,front_camers_count,front_camera_primary,memory_card_supported,memory_card_slot_type,memory_card_max_gb,os
samsung,Samsung Galaxy Z Flip 3 5G (8GB RAM + 256GB),43499,67.0,True,True,False,Qualcomm,Snapdragon,Snapdragon 888,Octa Core,8.0,2.84,8.0,256.0,3300,15.0,True,6.7,1080,2640,120.0,Punch Hole,2.0,12,1,10,No,Not Supported,,Not Specified
motorola,Motorola Moto G60,21999,58.0,False,True,False,Qualcomm,Snapdragon,Snapdragon  732G,Octa Core,8.0,2.3,6.0,128.0,6000,20.0,True,6.78,1080,2460,120.0,Punch Hole,3.0,108,1,32,Yes,Hybrid,1024.0,Android
oneplus,OnePlus 8T,29264,63.0,True,True,False,Qualcomm,Snapdragon,Snapdragon 865,Octa Core,8.0,2.84,8.0,128.0,4500,65.0,True,6.55,1080,2400,120.0,Punch Hole,4.0,48,1,16,No,Not Supported,,Android
xiaomi,Xiaomi Mi A2,11990,,False,False,True,Qualcomm,Snapdragon,Snapdragon 660,Octa Core,8.0,2.2,4.0,64.0,3010,,True,5.99,1080,2160,,,2.0,20,1,20,No,Not Supported,,Android
peace,Peace i Ultra,10999,,False,False,False,,,,Single Core,1.0,,6.0,64.0,5000,,False,6.61,720,1640,,Punch Hole,1.0,20,1,8,Yes,Dedicated,,S30+ / Feature OS
philips,Philips E2112S,1699,,,,,,,,,,,32.0,32.0,2500,,False,2.2,,,,,1.0,,1,,Yes,Dedicated,32.0,Not Specified
realme,Realme 16x 5G (6GB RAM + 256GB),27999,59.0,True,False,False,MediaTek,Dimensity,Dimensity 6300,Octa Core,8.0,2.4,6.0,256.0,7000,45.0,True,6.81,1570,720,144.0,Punch Hole,1.0,50,1,8,Yes,Hybrid,,Android
google,Google Pixel 11 5G (12GB RAM + 512GB),104999,75.0,True,True,False,Google,Tensor,Tensor G6,,,,12.0,512.0,4985,30.0,True,6.3,1080,2424,120.0,Punch Hole,3.0,48,1,10.5,,,,Android
samsung,Samsung Galaxy Z Fold 8 Ultra (12GB RAM + 512GB),214999,,True,True,False,Qualcomm,Snapdragon,Snapdragon 8 Elite Gen 5 For Galaxy,Octa Core,8.0,4.74,12.0,512.0,5000,45.0,True,8.0,2256,2504,120.0,Punch Hole,3.0,200,2,10,,,,Android
philips,Philips E2222,1999,,,,,,,,,,,32.0,32.0,1700,,False,2.44,160,283,,,1.0,,1,,Yes,Dedicated,32.0,Not Specified
tecno,Tecno POP X 5G (6GB RAM + 128GB),17999,53.0,True,False,True,MediaTek,Dimensity,Dimensity 6400,Octa Core,8.0,2.5,6.0,128.0,6500,45.0,True,6.78,720,1576,120.0,Punch Hole,1.0,13,1,8,Yes,Dedicated,1024.0,Android
